EVTYPE,EVTYPE.MAPPED
THUNDERSTORM  WINDS,THUNDERSTORM WIND
SMALL HAIL,HAIL
HIGH WINDS/SNOW,
FLOODING,FLOOD
NON-SEVERE WIND DAMAGE,
HURRICANE ERIN,HURRICANE/TYPHOON
HYPOTHERMIA/EXPOSURE,
LOW TEMPERATURE,
RAIN/SNOW,
MUDSLIDE,
HEAT WAVES,HEAT
COASTAL FLOODING/EROSION,
RIP CURRENTS/HEAVY SURF,
SNOW AND ICE,
FLASH FLOODING/FLOOD,
ROUGH SURF,
HIGH SEAS,
COASTAL STORM,
HIGH WIND/SEAS,
THUNDERSTORM WINDSS,THUNDERSTORM WIND
HEAVY RAINS,
TORRENTIAL RAINFALL,
FROST,FROST/FREEZE
OTHER,
HIGH WINDS/COLD,
RIVER FLOOD,
COLD WAVE,
MARINE ACCIDENT,
HEAVY SURF AND WIND,
TSTM WIND (G45),THUNDERSTORM WIND
LIGHT SNOW,
HEAVY SEAS,
HIGH WATER,
COLD WEATHER,COLD/WIND CHILL
RIVER FLOODING,
ICE STORM/FLASH FLOOD,
HURRICANE OPAL/HIGH WINDS,HURRICANE/TYPHOON
THUNDERSNOW,
TORNADO F3,TORNADO
HEAVY SNOW AND HIGH WINDS,
FOG AND COLD TEMPERATURES,
UNSEASONABLY COLD,
DROUGHT/EXCESSIVE HEAT,
HURRICANE EDOUARD,HURRICANE/TYPHOON
HEAVY SNOW SHOWER,
WARM WEATHER,
ROGUE WAVE,
BRUSH FIRE,WILDFIRE
HURRICANE OPAL,HURRICANE/TYPHOON
WINDS,
HURRICANE-GENERATED SWELLS,HURRICANE/TYPHOON
COLD TEMPERATURE,COLD/WIND CHILL
GUSTY WIND,
EXCESSIVE SNOW,
FALLING SNOW/ICE,
THUNDERSTORM WINDS/HAIL,
HIGH,
DRY MIRCOBURST WINDS,
WATERSPOUT TORNADO,TORNADO
LIGHTNING INJURY,LIGHTNING
LIGHTNING AND THUNDERSTORM WIN,
THUNDERSTORM WINDS 13,THUNDERSTORM WIND
FREEZING RAIN/SNOW,
WIND STORM,
URBAN AND SMALL STREAM FLOODIN,
FREEZE,FROST/FREEZE
LIGHTNING.,LIGHTNING
THUNDERTORM WINDS,THUNDERSTORM WIND
FLOOD/RIVER FLOOD,FLOOD
AVALANCE,AVALANCHE
HURRICANE EMILY,HURRICANE/TYPHOON
HURRICANE FELIX,HURRICANE/TYPHOON
HIGH WIND/HEAVY SNOW,
RAIN/WIND,
HEAVY SNOW/BLIZZARD/AVALANCHE,
THUNDERSTORM WIND G52,THUNDERSTORM WIND
HIGH WAVES,
HYPOTHERMIA,
COLD/WINDS,
RECORD COLD,COLD/WIND CHILL
SNOW/ BITTER COLD,COLD/WIND CHILL
RAPIDLY RISING WATER,
MINOR FLOODING,FLOOD
FLOOD & HEAVY RAIN,
HIGH WIND 48,
TIDAL FLOODING,
EXTENDED COLD,COLD/WIND CHILL
WHIRLWIND,
FREEZING SPRAY,
MUDSLIDES,
COASTALSTORM,
SNOW SQUALLS,
TSTM WIND (G40),THUNDERSTORM WIND
TSTM WIND (G35),THUNDERSTORM WIND
HYPERTHERMIA/EXPOSURE,COLD/WIND CHILL
ICE ROADS,
THUNDERSTORM WIND (G40),THUNDERSTORM WIND
NON TSTM WIND,
HAZARDOUS SURF,
ICE ON ROAD,
DROWNING,
TSUNAMI,TZUNAMI
